structure_id,cycle,co2_mmol_g,phase,source
2022[Tb][umc]3[ASR]1,0,0.0,initialization,simulations/pilot_batch/2022[Tb][umc]3[ASR]1/Output/System_0/output_2022[Tb][umc]3[ASR]1_3.3.2_298.000000_100000.data
2022[Tb][umc]3[ASR]1,2000,6.8298,initialization,simulations/pilot_batch/2022[Tb][umc]3[ASR]1/Output/System_0/output_2022[Tb][umc]3[ASR]1_3.3.2_298.000000_100000.data
2022[Tb][umc]3[ASR]1,4000,7.0575,initialization,simulations/pilot_batch/2022[Tb][umc]3[ASR]1/Output/System_0/output_2022[Tb][umc]3[ASR]1_3.3.2_298.000000_100000.data
2022[Tb][umc]3[ASR]1,5000,6.6780523817,production,simulations/pilot_batch/2022[Tb][umc]3[ASR]1/Output/System_0/output_2022[Tb][umc]3[ASR]1_3.3.2_298.000000_100000.data
2022[Tb][umc]3[ASR]1,7000,6.8298262995,production,simulations/pilot_batch/2022[Tb][umc]3[ASR]1/Output/System_0/output_2022[Tb][umc]3[ASR]1_3.3.2_298.000000_100000.data
2022[Tb][umc]3[ASR]1,9000,6.7539393406,production,simulations/pilot_batch/2022[Tb][umc]3[ASR]1/Output/System_0/output_2022[Tb][umc]3[ASR]1_3.3.2_298.000000_100000.data
2022[Tb][umc]3[ASR]1,11000,7.2851480528,production,simulations/pilot_batch/2022[Tb][umc]3[ASR]1/Output/System_0/output_2022[Tb][umc]3[ASR]1_3.3.2_298.000000_100000.data
2022[Tb][umc]3[ASR]1,13000,7.133374135,production,simulations/pilot_batch/2022[Tb][umc]3[ASR]1/Output/System_0/output_2022[Tb][umc]3[ASR]1_3.3.2_298.000000_100000.data
2020[Sc][nan]3[ASR]1,0,0.0,initialization,simulations/pilot_batch/2020[Sc][nan]3[ASR]1/Output/System_0/output_2020[Sc][nan]3[ASR]1_2.3.2_298.000000_100000.data
2020[Sc][nan]3[ASR]1,2000,5.6613,initialization,simulations/pilot_batch/2020[Sc][nan]3[ASR]1/Output/System_0/output_2020[Sc][nan]3[ASR]1_2.3.2_298.000000_100000.data
2020[Sc][nan]3[ASR]1,4000,5.6613,initialization,simulations/pilot_batch/2020[Sc][nan]3[ASR]1/Output/System_0/output_2020[Sc][nan]3[ASR]1_2.3.2_298.000000_100000.data
2020[Sc][nan]3[ASR]1,5000,6.1645526327,production,simulations/pilot_batch/2020[Sc][nan]3[ASR]1/Output/System_0/output_2020[Sc][nan]3[ASR]1_2.3.2_298.000000_100000.data
2020[Sc][nan]3[ASR]1,7000,5.787131043,production,simulations/pilot_batch/2020[Sc][nan]3[ASR]1/Output/System_0/output_2020[Sc][nan]3[ASR]1_2.3.2_298.000000_100000.data
2020[Sc][nan]3[ASR]1,9000,5.6613238464,production,simulations/pilot_batch/2020[Sc][nan]3[ASR]1/Output/System_0/output_2020[Sc][nan]3[ASR]1_2.3.2_298.000000_100000.data
2020[Sc][nan]3[ASR]1,11000,6.2903598293,production,simulations/pilot_batch/2020[Sc][nan]3[ASR]1/Output/System_0/output_2020[Sc][nan]3[ASR]1_2.3.2_298.000000_100000.data
2020[Sc][nan]3[ASR]1,13000,5.4726130515,production,simulations/pilot_batch/2020[Sc][nan]3[ASR]1/Output/System_0/output_2020[Sc][nan]3[ASR]1_2.3.2_298.000000_100000.data
2014[Eu][esg]3[ASR]1,0,0.0,initialization,simulations/pilot_batch/2014[Eu][esg]3[ASR]1/Output/System_0/output_2014[Eu][esg]3[ASR]1_2.2.2_298.000000_100000.data
