structure_id,status,co2_mol_kg,co2_err,n2_mol_kg,n2_err,n_warnings,wall_s,cells,tier,pld,lcd,has_oms,pred_co2_binary_uptake_0p15bar_298K,pred_co2_n2_selectivity,selectivity_gcmc
2017[Zr][csq]3[ASR]3,ok,1.1328879133,0.1212467189,0.2622550166,0.004699939,0,961.0,"(1, 1, 2)",A,29.15594,30.4164,True,1.477852630868726,16.952015891944598,24.47883841687651
2010[Cr][bpq]3[ASR]1,ok,0.5751841171,0.0271595032,0.2649331271,0.0065536376,0,1839.8,"(3, 4, 4)",A,7.09493,7.50679,False,1.6243217670220094,23.0573859937807,12.302639157451996
2017[Al][skl]3[ASR]6,ok,1.0483740291,0.0295326878,0.3771440547,0.007992587,0,2146.9,"(2, 2, 1)",A,6.44431,10.38616,False,1.5298191855896106,16.43606666668805,15.752034510064359
2017[Al][skl]3[ASR]2,ok,1.1077137562,0.0306964063,0.403261499,0.0058916422,0,2285.1,"(2, 2, 1)",A,7.60554,8.3964,False,1.7217050471508148,20.00087246605583,15.565692817272065
2019[Zr][bey]2[ASR]1,ok,0.5661496348,0.0274360557,0.1263687619,0.0034712099,0,3849.1,"(3, 2, 2)",A,3.42446,6.81859,False,0.2237097007669447,14.393793238441846,25.38745506112826
2024[Fe][bpq]3[ASR]1,ok,0.8632024045,0.0119804241,0.037375433,0.0036064915,0,8480.0,"(4, 4, 3)",B,3.68069,3.99564,False,0.954241187659744,43.617680528885714,130.87421066577787
2017[In][nan]2[ASR]1,ok,1.8746579999,0.0491787051,0.0670424365,0.0051218691,0,9620.9,"(4, 3, 3)",B,4.49382,4.95019,False,0.9917870627228718,29.60252333531415,158.45280323953222
2019[In][kgd]2[ASR]1,ok,2.6330258068,0.0482565119,0.4110052356,0.0058355897,0,9875.4,"(2, 2, 2)",B,4.48716,8.30046,True,2.4628625876737913,30.663048465292857,36.302407559566056
2023[Fe][nan]2[ASR]1,ok,1.0069313904,0.0169910151,0.3088068779,0.0064893733,0,4316.6,"(2, 1, 2)",B,4.47055,7.1229,False,2.5039256459085224,32.73920923815086,18.477388147577912
2020[Sc][nan]3[ASR]1,ok,5.8091095602,0.1119970014,0.2684222346,0.0064566228,0,12117.5,"(2, 3, 2)",B,4.02175,6.81679,True,2.3966010098672172,29.908685687669134,122.63621736423768
2016[Fe][hcb]2[ASR]1,ok,0.1646054393,0.0046103189,0.088351781,0.0025475244,0,891.7,"(4, 2, 3)",B,4.09919,5.27197,False,2.729255345333269,38.069574354089646,10.557389398107698
2007[In][ctn]3[ASR]1,ok,0.7856779978,0.0122700659,0.4051187145,0.0057896639,0,3344.6,"(2, 2, 2)",B,5.51669,6.23514,False,2.7251151073342155,35.36629583179123,10.989804127813668
2019[Ce][scu]3[ASR]1,ok,2.2136030762,0.0360907947,0.0579166616,0.0018637111,0,13819.0,"(3, 3, 2)",C,3.42014,4.76524,True,0.9161989040824,34.50507947951481,216.58276597098157
2019[In][sql]2[ASR]1,ok,2.5318429925,0.0535518115,0.3763644044,0.0038858008,0,30228.3,"(3, 3, 2)",B,4.16361,6.45976,False,2.3135910731672373,33.02170185100108,38.12026356133623
2019[Zr][scu]3[ASR]4,ok,3.4787442647,0.0754679521,0.3130078842,0.0044782473,0,32390.7,"(2, 2, 2)",A,5.07152,10.6532,True,2.175367006590111,24.368633323782532,62.97887421275804
2019[Dy][nan]3[ASR]1,ok,4.3027383681,0.0697233601,0.2267264665,0.0099896718,0,4976.4,"(1, 2, 2)",C,4.91311,6.35964,True,2.265029480404951,31.42278550821489,107.54008767608964
2003[Er][tcs]3[ASR]1,ok,4.5367089598,0.1758930002,0.0199593803,0.0013303951,0,18920.5,"(4, 2, 3)",C,4.05562,4.96885,True,1.1442860357417737,27.93776672812231,1288.016814773887
2022[Tb][umc]3[ASR]1,ok,6.8750056005,0.0573767235,0.1258471383,0.0024408423,0,23388.6,"(3, 3, 2)",C,4.57036,7.35844,True,2.033401200893425,27.728057409176863,309.5689389188121
2014[Eu][esg]3[ASR]1,ok,4.8738677547,0.0888074743,0.3212708669,0.0053531964,0,6633.8,"(2, 2, 2)",C,4.64312,6.28049,True,2.9316862488279716,40.710788734830814,85.96666174495263
2019[Lu][pcu]3[ASR]1,ok,1.6438150114,0.0242455682,0.0786202403,0.0043715101,0,26141.9,"(3, 2, 3)",C,3.78793,4.77627,False,0.6450818286913786,28.08760966200083,118.48032638570639
